Code;Naam;X;Y;Provincie;Inwoners;Oppervlakte;Inw/km2
1680;Aa en Hunze;241.626;559.617;DR;25134;279;90
358;Aalsmeer;111.761;474.856;NH;31468;34;928
197;Aalten;234.545;436.077;GLD;26880;97;277
59;Achtkarspelen;206.570;581.807;FR;27867;104;268
194001;Akkrum;189.813;556.185;FR;5000;25;238
482;Alblasserdam;105.344;431.328;ZH;20010;10;2001
613;Albrandswaard;89.784;430.256;ZH;25200;24;1050
361;Alkmaar;115.549;514.234;NH;108458;31;3474
141;Almelo;241.255;485.284;OV;72603;69;1046
34;Almere;149.107;487.805;FL;203743;249;819
484;Alphen a/d Rijn;103.450;458.196;ZH;109650;58;1901
1723;Alphen-Chaam;117.659;390.923;NB;10018;94;107
1959;Altena;126.552;419.866;NB;54704;202;271
60;Ameland;180.223;604.043;FR;3491;269;13
307;Amersfoort;154.631;464.878;UT;155180;64;2430
362;Amstelveen;118.087;477.785;NH;89867;42;2121
363;Amsterdam;123.064;489.663;NH;853935;219;3898
36301;Amsterdam-N;128.1;494.0;NH;0;0;0
36302;Amsterdam-Z;121.0;483.0;NH;0;0;0
200;Apeldoorn;195.824;469.327;GLD;161018;341;472
3;Appingedam;252.306;594.236;GR;11793;25;479
100001;Eemshaven;252.306;610.236;GR;0;0;0
202;Arnhem;190.223;443.925;GLD;157168;102;1548
106;Assen;234.687;557.342;DR;67678;83;811
743;Asten;181.983;379.903;NB;16705;71;234
744;Baarle-Nassau;119.090;380.458;NB;6796;76;89
308;Baarn;148.026;469.048;UT;24623;33;739
36303;Badhoevedorp;112.594;484.824;NH;20070;50;775
489;Barendrecht;95.292;430.356;ZH;48458;22;2229
203;Barneveld;167.578;462.811;GLD;57251;177;324
888;Beek;184.743;326.814;LB;15885;21;755
1954;Beekdaelen;189.556;326.405;LB;35949;78;459
370;Beemster;123.402;509.681;NH;9504;72;132
889;Beesel;202.073;365.319;LB;13438;29;461
1705;Bemmel;192.283;435.864;GLD;46319;69;668
1945;Berg en Dal;193.042;425.285;GLD;34700;93;372
1724;Bergeijk;154.577;371.586;NB;18373;103;178
893;Bergen (L);203.651;400.319;LB;13020;109;120
373;Bergen (NH);108.450;519.514;NH;29838;120;249
748;Bergen op Zoom;79.979;392.330;NB;66300;100;663
1859;Berkelland;235.027;459.032;GLD;43940;260;169
1721;Bernheze;163.332;410.368;NB;30548;90;338
753;Best;155.306;390.590;NB;29470;35;842
375;Beverwijk;106.245;500.087;NH;41064;20;2044
1728;Bladel;145.043;377.889;NB;20139;76;266
376;Blaricum;146.066;476.423;NH;10788;16;692
377;Bloemendaal;101.549;487.103;NH;23193;45;513
1901;Bodegraven-Reeuwijk;112.921;453.933;ZH;33938;89;383
755;Boekel;175.154;401.793;NB;10491;35;304
1681;Borger-Odoorn;257.171;546.045;DR;25292;278;91
147;Borne;247.779;481.209;OV;23108;26;882
654;Borsele;44.564;388.135;ZLD;22559;194;116
756;Boxmeer;193.697;404.615;NB;28829;114;253
757;Boxtel;151.291;400.066;NB;30636;65;473
758;Breda;110.759;397.758;NB;183393;129;1420
501;Brielle;70.961;434.584;ZH;17023;31;547
1876;Bronckhorst;217.815;448.855;GLD;36300;300;121
213;Brummen;206.009;458.898;GLD;20764;85;244
899;Brunssum;195.312;328.239;LB;28235;17;1633
312;Bunnik;143.414;450.300;UT;15178;38;404
313;Bunschoten;152.820;471.872;UT;21242;35;609
214;Buren;157.335;437.957;GLD;26231;154;170
502;Capelle a/d IJssel;98.812;437.937;ZH;66851;15;4341
383;Castricum;108.940;508.013;NH;35598;60;594
109;Coevorden;247.868;525.681;DR;35063;300;117
1706;Cranendonck;170.231;367.545;NB;20316;78;260
1684;Cuijk;187.465;414.165;NB;24905;57;437
216;Culemborg;142.344;438.769;GLD;28169;31;902
148;Dalfsen;214.771;501.394;OV;28075;281;100
1891;Dantumadiel;195.388;588.783;FR;18898;87;216
310;De Bilt;140.022;461.121;UT;42810;67;638
736;Mijdrecht;123.445;473.015;UT;43607;117;373
1690;De Wolden;221.817;521.292;DR;23768;226;105
503;Delft;84.786;445.531;ZH;102241;26;3886
10;Delfzijl;255.146;594.316;GR;24710;227;109
400;Den Helder;114.751;548.892;NH;55616;179;311
1911;Den Oever;122.594;540.445;NH;47120;664;71
762;Deurne;182.827;383.077;NB;32078;118;271
150;Deventer;211.859;474.120;OV;99562;134;743
384;Diemen;127.667;482.856;NH;28116;14;2004
1774;Dinkelland;258.275;486.246;OV;26169;177;148
221;Doesburg;207.128;447.679;GLD;11326;13;878
222;Doetinchem;216.240;441.857;GLD;57355;80;720
766;Dongen;124.587;405.458;NB;25767;30;867
1740;Doodewaard;168.608;437.565;GLD;23615;67;355
505;Dordrecht;109.699;423.805;ZH;118346;99;1190
90;Drachten;202.966;562.025;FR;55880;126;443
498;Drechterland;138.876;520.767;NH;19375;101;191
1719;Drimmelen;111.240;410.857;NB;27058;119;227
303;Dronten;174.785;499.798;FL;40691;424;96
225;Druten;169.341;431.581;GLD;18669;42;440
226;Duiven;198.071;439.517;GLD;25413;35;723
1711;Echt;191.031;343.165;LB;31662;103;306
228;Ede;174.290;453.657;GLD;114377;319;359
317;Eemnes;147.641;473.088;UT;9091;34;270
770;Eersel;150.851;378.601;NB;18717;182;103
1903;Eijsden-Margraten;183.223;312.770;LB;25527;78;329
772;Eindhoven;161.166;384.818;NB;229118;89;2579
230;Elburg;184.881;492.171;GLD;23083;66;350
171;Emmeloord;181.271;526.598;FL;46504;596;78
114;Emmen;260.125;532.061;DR;107100;350;306
388;Enkhuizen;146.513;526.338;NH;18464;17;1117
153;Enschede;257.276;471.270;OV;158163;141;1118
232;Epe;196.770;481.284;GLD;32708;157;208
233;Ermelo;172.115;477.293;GLD;26738;87;306
777;Etten-Leur;103.254;399.206;NB;43490;56;778
614;Europoort;68.986;435.935;ZH;14449;98;148
209;Ewijk;179.765;430.317;GLD;25793;48;543
1949;Franeker;169.939;577.064;FR;46028;315;146
779;Geertruidenberg;119.530;411.250;NB;21510;30;724
10297;Geldermalsen;139.424;427.461;GLD;5000;9;312
1771;Geldrop-Mierlo;169.028;382.521;NB;39242;32;1229
1652;Gemert-Bakel;178.258;393.985;NB;30226;123;245
907;Gennep;196.647;412.810;LB;17035;50;338
784;Gilze-Rijen;119.794;395.770;NB;26276;66;400
1924;Goeree-Overflakkee;74.061;417.228;ZH;49837;422;118
19241;Middelharnis;76.061;419.228;ZH;7000;422;118
19242;Oude-Tonge;82.061;409.228;ZH;7000;422;118
19243;Stellendam;65.061;424.228;ZH;7000;422;118
664;Goes;47.337;392.843;ZLD;37584;102;368
785;Goirle;130.372;390.985;NB;23612;42;559
1942;Gooise Meren;135.066;479.889;NH;57330;8;7069
512;Gorinchem;126.908;428.386;ZH;36284;22;1650
513;Gouda;108.693;447.776;ZH;72694;18;4014
786;Grave;179.606;416.749;NB;12419;28;444
14;Groningen;236.393;581.375;GR;229796;186;1235
1729;Gulpen-Wittem;192.329;311.880;LB;14191;73;194
158;Haaksbergen;246.958;464.516;OV;24260;105;230
788;Haaren;144.340;403.656;NB;14089;61;232
392;Haarlem;104.050;488.751;NH;159680;32;4976
1655;Halderberge;95.098;400.417;NB;29870;75;397
160;Hardenberg;229.739;513.442;OV;60276;317;190
243;Harderwijk;173.785;483.873;GLD;46826;39;1215
523;Hardinxveld-Giessendam;117.717;427.913;ZH;17957;19;928
72;Harlingen;158.625;574.430;FR;15507;388;40
244;Hattem;199.697;499.601;GLD;12148;24;502
396;Heemskerk;106.948;502.300;NH;39117;32;1227
397;Heemstede;102.539;484.524;NH;27079;10;2809
246;Heerde;200.807;490.346;GLD;18575;80;231
74;Heerenveen;194.754;547.449;FR;50177;140;358
398;Heerhugowaard;118.145;521.069;NH;55826;40;1396
917;Heerlen;195.541;322.309;LB;86731;46;1897
1658;Heeze-Leende;165.787;373.632;NB;15873;105;151
399;Heiloo;109.218;511.987;NH;23097;19;1215
163;Hellendoorn;229.306;492.487;OV;35774;139;258
530;Hellevoetsluis;70.851;429.589;ZH;39957;46;866
794;Helmond;174.102;387.541;NB;90897;55;1666
531;Hendrik-Ido-Ambacht;103.372;428.756;ZH;25761;12;2145
164;Hengelo;250.143;476.104;OV;80994;62;1311
1966;Winsum;235.044;594.534;GR;47642;486;98
252;Heumen;185.204;421.582;GLD;16424;42;395
797;Heusden;139.278;410.151;NB;43696;81;538
534;Hillegom;99.832;479.115;ZH;21811;13;1618
798;Hilvarenbeek;139.187;389.581;NB;15293;97;158
402;Hilversum;138.330;471.763;NH;89521;46;1936
1963;Hoeksche Waard;89.201;421.589;ZH;86038;269;320
10917;Hoensbroek;193.541;325.309;LB;6731;6;1897
1735;Hof van Twente;236.756;470.905;OV;34768;212;164
394;Hoofddorp;108.594;481.824;NH;50070;50;775
118;Hoogeveen;230.283;526.722;DR;55578;129;430
1952;Hoogezand;249.963;578.446;GR;60924;73;834
405;Hoorn;133.757;518.847;NH;72777;52;1395
1507;Horst aan de Maas;202.828;385.915;LB;42200;200;211
321;Houten;140.691;447.640;UT;49543;59;839
406;Huizen;143.941;477.837;NH;41364;23;1773
677;Hulst;61.668;368.937;ZLD;27250;250;109
10453;IJmuiden;100.334;496.614;NH;27811;23;1075
353;IJsselstein;130.394;449.250;UT;34289;22;1586
1940;Joure;187.813;548.185;FR;11627;100;238
1884;Kaag en Braassem;102.296;467.798;ZH;26599;72;368
166;Kampen;193.792;505.938;OV;53101;165;322
678;Kapelle;55.904;390.384;ZLD;12700;50;256
537;Katwijk;90.203;467.642;ZH;64946;31;2091
928;Kerkrade;201.985;320.020;LB;45806;22;2107
1598;Koggenland;125.574;517.584;NH;22631;84;269
10005;Kpt-Benelux;84.440;433.535;ZH;0;0;0
542;Krimpen a/d IJssel;101.068;436.497;ZH;29299;9;3281
1931;Krimpenerwaard;110.551;442.543;ZH;2782;0;5564400
19311;Bergambacht;114.549;442.543;ZH;2782;0;0
19312;Schoonhoven;118.551;442.543;ZH;2782;0;0
1659;Laarbeek;172.064;393.742;NB;22121;56;396
1685;Landerd;174.714;414.873;NB;15267;71;216
882;Landgraaf;200.723;323.600;LB;37588;25;1523
415;Landsmeer;123.036;495.743;NH;11422;26;432
416;Langedijk;114.878;523.060;NH;27827;27;1031
1621;Lansingerland;93.663;446.652;ZH;61127;56;1084
417;Laren;144.081;473.233;NH;11139;12;899
80;Leeuwarden;181.981;574.555;FR;122395;170;719
546;Leiden;93.473;463.587;ZH;124300;23;5367
547;Leiderdorp;97.286;463.687;ZH;27190;12;2236
1916;Leidschendam-Voorburg;87.729;455.747;ZH;74938;36;2105
995;Lelystad;160.282;495.570;FL;77304;765;101
171;Lemmer;179.271;538.598;FL;46504;596;78
1640;Leudal;187.340;358.238;LB;35783;165;217
327;Leusden;159.283;459.613;UT;29706;59;504
553;Lisse;97.508;474.052;ZH;22731;16;1411
262;Lochem;221.084;466.190;GLD;33372;217;154
809;Loon op Zand;131.504;406.562;NB;23108;53;436
331;Lopik;124.211;445.089;UT;14371;79;181
24;Loppersum;244.721;595.859;GR;9712;113;86
168;Losser;264.118;479.941;OV;22514;100;226
263;Maasdriel;147.654;421.882;GLD;24308;75;322
1641;Maasgouw;189.629;353.095;LB;23655;58;407
556;Maassluis;77.258;438.200;ZH;32510;10;3203
935;Maastricht;177.240;318.399;LB;122703;60;2043
420;Medemblik;134.149;525.217;NH;44300;258;172
938;Meerssen;181.245;323.304;LB;19023;28;687
